City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
qaanaaq,77.484,-69.3632,16.09,65,60,7.76,GL,1630971841
ushuaia,-54.8,-68.3,44.26,76,40,12.66,AR,1630971754
riyadh,24.6877,46.7219,86.14,13,0,3.44,SA,1630971841
khatanga,71.9667,102.5,53.29,67,93,8.57,RU,1630971843
bluff,-46.6,168.3333,50.81,90,100,6.33,NZ,1630971843
rikitea,-23.1203,-134.9692,73.76,72,57,7.18,PF,1630971843
thinadhoo,0.5333,72.9333,82.99,73,100,12.53,MV,1630971844
port alfred,-33.5906,26.891,58.48,68,100,11.99,ZA,1630971844
hobart,-42.8794,147.3294,55.26,58,20,7.0,AU,1630971844
bengkulu,-3.8004,102.2655,74.39,93,98,5.77,ID,1630971845
zeya,53.75,127.2667,65.57,82,100,7.09,RU,1630971845
matara,5.9485,80.5353,77.54,89,100,11.25,LK,1630971846
jamestown,42.097,-79.2353,67.59,67,40,6.33,US,1630971828
mataura,-46.1927,168.8643,50.49,92,100,1.03,NZ,1630971846
cockburn town,21.4612,-71.1419,82.44,75,25,16.24,TC,1630971847
vardo,70.3705,31.1107,40.23,69,22,12.91,NO,1630971848
albany,42.6001,-73.9662,67.87,69,3,4.76,US,1630971587
zakamensk,50.3741,103.2863,39.79,88,100,2.53,RU,1630971849
wadi maliz,36.4681,8.5495,73.06,80,7,3.2,TN,1630971849
klyuchi,52.2667,79.1667,53.28,58,38,5.82,RU,1630971850
ginir,7.1333,40.7,60.33,73,84,7.23,ET,1630971850
bangkalan,-7.0455,112.7351,76.95,74,25,3.8,ID,1630971850
barrow,71.2906,-156.7887,37.42,75,90,4.61,US,1630971763
kahului,20.8947,-156.47,86.02,54,20,23.02,US,1630971851
vaini,-21.2,-175.2,80.76,83,20,10.36,TO,1630971851
denpasar,-8.65,115.2167,78.46,94,40,8.05,ID,1630971852
ketchikan,55.3422,-131.6461,58.41,85,100,4.43,US,1630971852
marienburg,54.0359,19.0266,53.89,65,100,6.76,PL,1630971853
padang,-0.9492,100.3543,73.45,94,99,8.68,ID,1630971853
akdepe,42.0551,59.3788,66.29,26,0,9.57,TM,1630971853
cotonou,6.3654,2.4183,78.78,89,40,11.5,BJ,1630971854
hilo,19.7297,-155.09,85.28,62,40,10.36,US,1630971453
atuona,-9.8,-139.0333,78.55,69,12,16.87,PF,1630971855
kavieng,-2.5744,150.7967,85.44,61,98,11.65,PG,1630971855
bar harbor,44.3876,-68.2039,62.74,90,90,8.99,US,1630971838
mantua,45.1667,10.7833,69.04,74,2,1.01,IT,1630971786
teahupoo,-17.8333,-149.2667,78.76,75,50,13.15,PF,1630971856
nikolskoye,59.7035,30.7861,51.69,98,100,4.05,RU,1630971856
norman wells,65.282,-126.8329,57.24,94,75,14.97,CA,1630971857
syracuse,37.0881,15.2792,71.89,71,8,10.33,IT,1630971857
buique,-8.6231,-37.1558,64.38,92,2,7.72,BR,1630971857
wana,32.2989,69.5725,77.56,57,0,2.73,PK,1630971858
christchurch,-43.5333,172.6333,66.4,39,39,17.27,NZ,1630971858
severo-kurilsk,50.6789,156.125,50.31,79,82,14.34,RU,1630971859
thompson,55.7435,-97.8558,66.36,63,75,4.61,CA,1630971859
tuatapere,-46.1333,167.6833,50.83,95,100,7.99,NZ,1630971860
castro,-24.7911,-50.0119,59.09,90,3,9.78,BR,1630971740
karratha,-20.7377,116.8463,70.63,17,13,21.94,AU,1630971860
deming,32.2687,-107.7586,91.29,27,90,6.91,US,1630971861
cidreira,-30.1811,-50.2056,62.71,84,49,20.83,BR,1630971861
northam,51.0333,-4.2167,68.02,91,5,6.76,GB,1630971863
ribeira grande,38.5167,-28.7,69.51,74,98,10.49,PT,1630971863
beringovskiy,63.05,179.3167,44.4,59,82,7.43,RU,1630971863
tasiilaq,65.6145,-37.6368,42.96,92,74,3.24,GL,1630971864
urgut,39.4022,67.2431,62.22,25,0,1.77,UZ,1630971864
amot,59.5714,7.9877,44.49,92,100,4.21,NO,1630971865
yellowknife,62.456,-114.3525,63.12,72,20,18.41,CA,1630971865
puerto ayora,-0.7393,-90.3518,68.14,81,89,10.6,EC,1630971588
krasnoselkup,65.7,82.4667,41.13,86,3,10.78,RU,1630971866
longyearbyen,78.2186,15.6401,37.24,65,75,13.8,SJ,1630971867
mareeba,-17.0,145.4333,72.48,69,48,10.27,AU,1630971867
chifeng,42.2683,118.9636,57.81,73,0,4.45,CN,1630971867
arrecife,28.963,-13.5477,78.87,78,20,17.27,ES,1630971868
dikson,73.5069,80.5464,42.96,92,100,16.2,RU,1630971868
peniche,39.3558,-9.3811,73.92,86,48,15.82,PT,1630971869
kondinskoye,59.6481,67.41,44.69,73,91,6.78,RU,1630971869
koungheul,13.9833,-14.8,79.29,81,100,7.09,SN,1630971869
punta arenas,-53.15,-70.9167,48.31,76,90,8.05,CL,1630971870
cape town,-33.9258,18.4232,52.21,71,0,13.8,ZA,1630971808
ahipara,-35.1667,173.1667,56.98,95,100,10.29,NZ,1630971871
gladstone,-23.85,151.25,69.73,43,1,14.97,AU,1630971871
mahebourg,-20.4081,57.7,70.09,68,40,18.41,MU,1630971872
kargasok,59.0556,80.8572,43.39,71,82,5.1,RU,1630971872
kontagora,10.3999,5.4695,72.25,94,78,3.94,NG,1630971872
saint-augustin,51.226,-58.6502,55.6,89,98,7.38,CA,1630971873
volcan,8.7667,-82.6333,64.74,97,100,1.54,PA,1630971873
abu dhabi,24.4667,54.3667,89.62,84,20,4.61,AE,1630971761
suksun,57.1431,57.3949,35.85,94,12,5.48,RU,1630971874
zadar,44.1197,15.2422,70.65,49,0,8.05,HR,1630971874
